temperature,ambiant_temperature,kilowatts,oxygen_level,nitrogen_level,carbon_dioxide_level,humidity_level,fan_1,vent_2
4.73320524,19.04840851,4.50452154,1,3,22.23637528,76.979873,40.15280251,4.18058284
4.47051085,19.33128179,2.79002347,1,6,20.09450171,78.1451804,40.456544,4.15802922
4.91360148,21.41876056,5.02364126,1,6,22.49155739,77.91063464,39.01422324,3.09784286
4.39071797,20.21518044,2.04901835,1,3,20.70857215,78.41397632,40.59492229,3.08817054
3.87250373,18.28302589,1.54763384,1,6,22.33876666,78.42409952,38.91734929,1.49517915
4.68725594,20.39056106,2.72214039,1,3,20.48266182,76.12131105,40.23046347,4.7877053
5.26754184,18.99686917,3.21068713,1,6,20.34408317,78.29647312,40.06758654,3.92778135
3.0884105,21.13901011,1.66052722,1,6,19.94327368,78.67810493,39.25904877,2.00380042
3.42481194,18.81516854,2.9001018,1,6,20.03897372,78.52207411,40.62187756,4.1892252
5.7044563,20.48265186,3.49804704,1,3,20.66204374,77.68017425,40.66692731,5.62121396
5.11042492,18.79537076,2.46028973,1,4,20.69478485,76.39822501,40.07030715,4.49200254
2.78026588,20.42001357,2.47557953,1,5,21.51880653,78.31480194,40.87727358,4.1788569
4.05900205,20.81464104,0.94952954,1,3,20.44824537,78.59269017,39.36858477,13.32377247
3.33356454,20.03206738,3.29358775,1,3,21.76818855,77.03623074,40.14330159,12.42644937
6.08041653,19.46229176,2.8611903,1,5,20.7361212,78.38648666,40.26936742,10.31320746
4.57621954,20.14526011,2.24061201,1,3,21.10492665,76.4658291,39.82964659,17.92362179
4.36890745,20.09533034,1.28251793,1,3,19.72666501,77.43993535,41.20541076,15.88186117
2.97998251,18.2540412,3.86683867,1,5,21.53604628,78.81109937,39.84568372,10.43802577
4.64738752,19.93568161,3.19893215,1,4,22.75320588,77.65099963,39.46491363,10.20824021
5.56209313,19.49097456,3.26067987,1,6,21.89252679,76.74172175,40.59307971,15.3295688
5.0600677,21.0712196,2.59345417,1,5,20.04539014,77.70985751,40.64920335,11.72241626
3.92267138,20.88932737,3.63152587,1,3,23.40894911,77.13779009,39.60432022,10.99974674
2.28126335,19.86456625,3.93325881,1,3,21.03214564,77.94971371,41.43968523,13.68466912
4.93805325,21.00677721,3.34889517,1,5,20.64254644,77.40962359,40.0869128,13.58127192
4.93088614,20.65840475,3.71309028,1,5,21.3610569,79.00351025,40.42420244,2.688937
4.69036215,20.84065603,4.29553756,1,5,20.87060348,76.76511051,42.10818811,4.35446806
4.69604584,20.2904226,2.40332284,1,3,22.95415585,76.51975442,42.18808957,4.20999073
5.03519037,19.18997168,1.17032363,1,6,22.39122044,78.01130957,40.83296321,5.57561003
6.20241412,21.59786711,1.19810458,1,5,21.37772124,76.38678053,40.27565083,3.17730029
2.50321514,19.71447406,3.64432282,1,5,20.59945311,79.52440218,39.14859948,3.10169179
2.32664657,20.52923609,2.79828199,1,6,20.24321652,76.67829298,41.12304209,3.47508078
5.67433363,19.47638491,1.86122135,1,5,18.86464502,77.03964396,40.04347932,4.53903598
5.43650318,20.61776685,3.49830651,1,4,22.44843022,78.4943177,38.47974664,4.83529307
5.62376179,18.71104289,3.99882662,1,6,20.3129915,78.78800495,39.15311594,4.67040374
4.46554312,20.16989689,3.24901578,1,5,20.75016641,78.02881978,40.90787676,3.61994817
5.13730553,19.37640073,3.65077017,1,3,19.52107701,78.4953914,39.67187453,2.61188832
5.1134715,20.5284909,2.47501526,1,4,21.85053216,78.38770946,39.67649454,2.60533305
3.3076127,20.97405211,4.81257904,1,3,20.8697173,77.0440473,39.52887548,3.47238068
3.25368249,22.34819088,3.78495957,1,4,22.92852228,77.48238593,40.36146429,3.73129634
2.10595369,19.9959388,1.97107011,1,5,21.14800032,78.53414864,41.09384915,3.72593087
5.61158021,21.51423072,2.57745128,1,3,20.44566014,78.59840299,39.31309464,3.41786916
3.17454368,18.23778256,1.7205874,1,6,21.27871767,75.6597594,41.04533958,3.90761112
4.88512989,21.33724681,3.0054281,1,3,21.40870179,77.58134545,39.84623911,4.48263848
3.8098998,19.17264143,2.36581189,1,4,21.27952824,78.03029502,40.17348902,2.97676821
3.42354192,20.24261386,3.17177419,1,4,20.88575328,78.41881782,41.04270963,4.23107189
2.45633621,20.32831991,2.98528344,1,5,21.66007381,78.28847556,41.51146863,5.30872182
2.3948112,20.96570187,2.47762235,1,4,20.59487853,77.95710195,40.63593042,4.6984429
7.04180556,20.6551108,2.35580945,1,4,18.87677174,79.47675993,40.56722448,3.96114256
2.87036151,19.91214064,1.72126456,1,4,19.77839348,78.07415131,38.41405194,2.84817293
3.67875331,19.89658727,2.59243855,1,4,20.78736263,77.27031987,40.30014062,6.22268166
5.71185556,20.31652714,2.26962438,1,5,22.04730184,77.41011854,40.38907899,3.52782886
5.13290618,19.17453733,2.18577212,1,6,19.18215867,77.07716874,38.0545441,5.02031773
5.10637612,18.81181506,4.29982544,1,3,19.605643,77.58588985,39.81288612,1.35475863
3.63013993,19.48216679,2.33245417,1,6,21.28597108,76.13663651,40.25601369,1.5502214
2.64333803,19.97304629,3.85244338,1,6,19.43044503,76.8514608,40.73746197,3.69414879
3.1387798,19.04853175,1.67935136,1,4,21.08090763,78.92510212,38.79894213,3.66233905
4.17299491,20.54314787,3.92352059,1,4,21.63647557,78.16435562,38.36846415,4.89166673
5.12468772,21.38777207,2.8120127,1,4,21.17063266,76.90195969,37.73550356,4.6636739
5.06197871,19.80028097,2.21145389,1,3,20.81599603,76.49256186,36.62300179,4.13229799
5.50470235,18.05290117,3.58337027,1,3,19.18241485,77.39544069,39.68801352,6.96455769
